"Group","Pathway_ID","Description","setSize","enrichmentScore","NES","P_value","Adjusted_P_value","core_enrichment"
"No","GO:0003012","muscle system process",76,0.554513108846519,1.79093009287607,0.000151323728779206,0.0252762339186466,"HAND2/NR4A1/COL14A1/MYH11/CAMK2G/LMOD1/MYL9/MYLK/C12orf57/DMPK/KCNMA1/MYL6/LMNA/SORBS2/CALD1/GATA6/PDE5A/TPM2/FLNA/GSN/DTNA/TPM1/FXYD1/CALM3/PPP1R12B/CNN1/ROCK2/ACTA2/MEIS1/COL6A1/CACNA1C/PDE4D/UTRN/BBS2/PRKG1/ASPH/PRKACA/ANXA6"
"No","GO:0030029","actin filament-based process",190,0.449728511806136,1.61264616678823,0.000155000996434977,0.0252762339186466,"MYH10/SYNPO2/MYH11/LMOD1/CAVIN3/TLN2/CFL1/EEF2K/MYL9/ELN/MYL6/LRP1/PLEC/ACTG1/HMCN1/CALD1/MYADM/LDB3/ANTXR1/ACTB/ARHGEF17/TPM2/FLNA/TMSB4X/GSN/PDGFRB/KANK2/SHROOM3/HIP1R/CARMIL1/TPM1/TNXB/SUN2/CNN1/MYO1D/CX3CL1/CSRP1/OBSL1/STAU2/ITGB5/ROCK2/JAK2/ACTA2/CXCL12/MYO18B/LIMA1/CACNA1C/SPTAN1/DAAM2/PDE4D/MICAL2/LIMCH1/PRKG1/MYO18A/MICAL1/INPPL1/CDC42BPB/EHD2/DAAM1/PALLD/ACTN4/AQP1/ARHGEF10/SWAP70/PDLIM7/RAPGEF3/RHOA/PDLIM2/FCHSD2/SYNPO"
"No","GO:0030036","actin cytoskeleton organization",179,0.447591818964349,1.59626881452513,0.000189691918008458,0.0254745087537241,"MYH10/SYNPO2/MYH11/LMOD1/CAVIN3/TLN2/CFL1/EEF2K/MYL9/ELN/LRP1/PLEC/ACTG1/HMCN1/CALD1/MYADM/LDB3/ANTXR1/ACTB/ARHGEF17/TPM2/FLNA/TMSB4X/GSN/PDGFRB/KANK2/SHROOM3/HIP1R/CARMIL1/TPM1/TNXB/CNN1/MYO1D/CX3CL1/CSRP1/OBSL1/STAU2/ITGB5/ROCK2/JAK2/CXCL12/MYO18B/LIMA1/SPTAN1/DAAM2/MICAL2/LIMCH1/PRKG1/MYO18A/MICAL1/INPPL1/CDC42BPB/EHD2/DAAM1/PALLD/ACTN4/AQP1/ARHGEF10/SWAP70/PDLIM7/RAPGEF3/RHOA/PDLIM2/FCHSD2/SYNPO"
"No","GO:0030239","myofibril assembly",18,0.750716569899917,1.86874944033006,0.000231320842007865,0.0265429287261222,"MYH11/LMOD1/MYL9/PLEC/ACTG1/LDB3/PDGFRB/TPM1/CSRP1/OBSL1"
"No","GO:0097435","supramolecular fiber organization",187,0.434464684569464,1.55559632590438,0.0004769510626026,0.0265857783589644,"MFAP4/COL14A1/CST3/SYNPO2/COL1A2/MYH11/LMOD1/CLU/CFL1/LTBP2/EEF2K/MYL9/ELN/PLEC/ACTG1/CALD1/LTBP4/MYADM/LDB3/TPM2/FLNA/TMSB4X/GSN/PDGFRB/FBLN5/KANK2/SHROOM3/HIP1R/CARMIL1/TPM1/TNXB/FOXC1/CDKN1B/CRTAP/CNN1/MYO1D/CX3CL1/CSRP1/PCNT/COL1A1/OBSL1/ITGB5/ROCK2/JAK2/COL6A1/CXCL12/MAP1B/EMILIN1/LIMA1/SPTAN1/DAAM2/MICAL2/NUMA1/LIMCH1"
"No","GO:0007010","cytoskeleton organization",292,0.40474757161749,1.49702059596166,0.000412231653048929,0.0265857783589644,"MYH10/SYNPO2/MYH11/LMOD1/CAVIN3/TLN2/CFL1/EEF2K/CEP295NL/MYL9/ELN/LRP1/PLEC/LMNA/NEXN/ACTG1/HMCN1/SORBS2/CALD1/MYADM/LDB3/TTLL7/ANTXR1/ACTB/ARHGEF17/TPM2/FLNA/TMSB4X/GSN/PDGFRB/PLXNB1/PKD2/KANK2/SHROOM3/PKD1/SYNE3/MACF1/HIP1R/CARMIL1/ARHGAP10/TPM1/TNXB/CDKN1B/AAAS/SUN2/CNN1/MYO1D/MAP7D1/CX3CL1/CSRP1/PCNT/NINL/OBSL1/STAU2/ITGB5/ROCK2/DST/JAK2/CXCL12/MAP1B/MYO18B/LIMA1/TTLL3/SPTAN1/DAAM2/MICAL2/NUMA1/MAST3/LIMCH1/BBS2/GADD45A/PRKG1/USP33/CCDC8/MYO18A/MICAL1/INPPL1/HTT/CDK5RAP2/CCNL2/CDC42BPB/ILK/EHD2/DAAM1/PALLD/PHLDB1/ACTN4/AQP1/ARHGEF10/SWAP70/PDLIM7/RAPGEF3/RHOA/PDLIM2/FCHSD2/SYNPO/LIMD1/ARHGEF10L/NCOR1/RHOB/EPB41L4A/PLK3/AKAP9/WASF2/PLEKHG2/CROCC/MAP4/TACC2/LZTS2/PACSIN2/SORBS3/MAPRE3/TACC1/PARVA/WTIP/VPS4A"
"No","GO:0007600","sensory perception",33,0.633069143632837,1.78202241097627,0.000641944956634569,0.0277796990516592,"THRB/CCN3/ANO1/HMCN1/EPS8L2/COL4A3/CDKN1B/CYP4V2/COL1A1/COL6A1/CXCL12/COMT/EFEMP1/BBS2/LAMB2/COL18A1/AQP1"
"No","GO:0010927","cellular component assembly involved in morphogenesis",27,0.656094292460191,1.77641135321413,0.000765568887280421,0.02912989616102,"MYH11/LMOD1/MYL9/PLEC/ACTG1/LDB3/PDGFRB/TPM1/GPC1/CSRP1/OBSL1/CD9/VPS13B"
"No","GO:0032989","cellular anatomical entity morphogenesis",27,0.656094292460191,1.77641135321413,0.000765568887280421,0.02912989616102,"MYH11/LMOD1/MYL9/PLEC/ACTG1/LDB3/PDGFRB/TPM1/GPC1/CSRP1/OBSL1/CD9/VPS13B"
"No","GO:0085029","extracellular matrix assembly",17,0.727880587816153,1.78803500869883,0.0010890715302181,0.0331513373798391,"MFAP4/COL1A2/MYH11/ELN/GAS6/LTBP4/ANTXR1/FBLN5/TNXB/COL6A1/EMILIN1"
"Yes","GO:0001666","response to hypoxia",71,0.637446188925183,2.40265898539822,5.37741960572882e-09,1.22766489598789e-05,"ADM/VEGFA/DDIT4/ANGPTL4/PLOD2/SOD2/INHBA/PDK1/ENO1/SLC2A1/LOXL2/ERO1A/BNIP3L/MYC/LONP1/SLC29A1/FOS/CRYAB"
"Yes","GO:0036293","response to decreased oxygen levels",75,0.609431355583221,2.3194608575604,1.90719553068419e-08,1.45137579885067e-05,"ADM/VEGFA/DDIT4/ANGPTL4/PLOD2/SOD2/INHBA/PDK1/ENO1/SLC2A1/LOXL2/ERO1A/BNIP3L/MYC/LONP1/SLC29A1/FOS/CRYAB"
"Yes","GO:0070482","response to oxygen levels",80,0.594161309464075,2.28290120546085,1.64884308393797e-08,1.45137579885067e-05,"ADM/VEGFA/DDIT4/ANGPTL4/PLOD2/SOD2/INHBA/PDK1/ENO1/SLC2A1/LOXL2/ERO1A/BNIP3L/MYC/LONP1/NDUFS2/SLC29A1/FOS/CRYAB"
"Yes","GO:0005975","carbohydrate metabolic process",74,0.55520836797269,2.10785404770692,2.12839730751356e-06,0.00121478276326336,"IER3/DDIT4/PDK1/ENO1/IGFBP3/ERRFI1/SLC2A1/ERO1A/SLC39A14/STAT3/PFKP/PGGHG/NPC1/PPP1CB/CHST11/NUPR1"
"Yes","GO:0006090","pyruvate metabolic process",25,0.727152913617093,2.19882798809518,2.3204896307839e-05,0.00797124971392168,"IER3/DDIT4/PDK1/ENO1/STAT3/PFKP"
"Yes","GO:0009628","response to abiotic stimulus",194,0.376631552544053,1.65632070843978,2.44409759077756e-05,0.00797124971392168,"ADM/VEGFA/DDIT4/ANGPTL4/PLOD2/SOD2/INHBA/PDK1/ENO1/BHLHE40/SLC2A1/TNC/LOXL2/ERO1A/BNIP3L/ITGB3/ERCC1/MYC/LONP1/NDUFS2/FOSB/SLC29A1/TXNIP/FOS/BCL3/CRYAB/YBX3/PPP1CB"
"Yes","GO:0033554","cellular response to stress",302,0.33540988559971,1.54772720497219,1.97100186818493e-05,0.00797124971392168,"ADM/VEGFA/IER3/DDIT4/IL6/SOD2/INHBA/PDK1/ENO1/SLC2A1/TNC/ERO1A/BNIP3L/CASP4/ERCC1/POLM/MYC/LONP1/NEK6/JUN/JUNB/DOT1L/PXN/SLC29A1/FOS/MCL1/CEBPD/PRRX1/BCL3/CRYAB/YBX3/TAF10/CSNK1E/NUPR1/NFKBIA/HMGN1/PRKD1/YAP1/ZFP36L1/MARCKS/AUP1/EGLN1/TPR/ATP2A2/AP5Z1/NPEPPS/USP22"
"Yes","GO:0097190","apoptotic signaling pathway",105,0.448655908720757,1.80848862890805,3.21814555901113e-05,0.00918378288902801,"IER3/DDIT4/SOD2/INHBA/PDK1/ENO1/ERO1A/SERPINE1/BNIP3L/PLAUR/CASP4/MYC/MCL1/BCL3/YBX3/NUPR1/DAPK3/YAP1/AATF/NFATC4/HIPK2/ITPR1"
"Yes","GO:0097193","intrinsic apoptotic signaling pathway",64,0.542015290237304,2.00101488821705,3.69734986315071e-05,0.00937894415285896,"IER3/DDIT4/SOD2/PDK1/ENO1/ERO1A/PLAUR/CASP4/MYC/MCL1/BCL3/YBX3"
"Yes","GO:0005996","monosaccharide metabolic process",38,0.639634428139128,2.1282761643722,5.68430680883036e-05,0.0129653668203466,"PDK1/ENO1/IGFBP3/ERRFI1/SLC2A1/ERO1A/SLC39A14/PFKP"
